景点名称	频数	景点名称	频数	共现频数	MAXC	MINC	景点名称	景点名称	共现频数	MAXC	MINC
后海	809	天安门广场	1345	257	0.317676143	0.191078067	Back Lakes Hou Hai	Tiananmen Square Tiananmen Guangchang	257	0.317676143	0.191078067
后海	809	长安街	1388	257	0.317676143	0.185158501	Back Lakes Hou Hai	Chang an Street	257	0.317676143	0.185158501
后海	809	天安门	896	204	0.252163164	0.227678571	Back Lakes Hou Hai	Gate of Heavenly Peace Tian an Men	204	0.252163164	0.227678571
后海	809	王府井	897	165	0.203955501	0.183946488	Back Lakes Hou Hai	Wangfujing Main Streeet	165	0.203955501	0.183946488
后海	809	天坛	1115	137	0.16934487	0.122869955	Back Lakes Hou Hai	Temple of Heaven Tiantan Park	137	0.16934487	0.122869955
后海	809	北京大学	1023	129	0.159456119	0.126099707	Back Lakes Hou Hai	Peking University Beijing Da Xue	129	0.159456119	0.126099707
后海	809	颐和园	926	78	0.096415328	0.084233261	Back Lakes Hou Hai	Summer Palace Yiheyuan	78	0.096415328	0.084233261
鸟巢	787	颐和园	926	240	0.304955527	0.259179266	Niaochao National Stadium	Summer Palace Yiheyuan	240	0.304955527	0.259179266
鸟巢	787	北京大学	1023	214	0.271918679	0.209188661	Niaochao National Stadium	Peking University Beijing Da Xue	214	0.271918679	0.209188661
鸟巢	787	天安门广场	1345	129	0.163913596	0.095910781	Niaochao National Stadium	Tiananmen Square Tiananmen Guangchang	129	0.163913596	0.095910781
鸟巢	787	长安街	1388	125	0.158831004	0.090057637	Niaochao National Stadium	Chang an Street	125	0.158831004	0.090057637
鸟巢	787	王府井	897	116	0.147395172	0.129319955	Niaochao National Stadium	Wangfujing Main Streeet	116	0.147395172	0.129319955
鸟巢	787	天坛	1115	114	0.144853875	0.102242152	Niaochao National Stadium	Temple of Heaven Tiantan Park	114	0.144853875	0.102242152
鸟巢	787	南锣鼓巷	867	112	0.142312579	0.129181084	Niaochao National Stadium	Nanluoguxiang	112	0.142312579	0.129181084
鸟巢	787	什刹海	863	90	0.114358323	0.10428737	Niaochao National Stadium	Shichahai Scenic Resort	90	0.114358323	0.10428737
鸟巢	787	后海	809	88	0.111817027	0.108776267	Niaochao National Stadium	Back Lakes Hou Hai	88	0.111817027	0.108776267
鸟巢	787	故宫	1155	88	0.111817027	0.076190476	Niaochao National Stadium	The Palace Museum	88	0.111817027	0.076190476
鸟巢	787	天安门	896	82	0.104193139	0.091517857	Niaochao National Stadium	Gate of Heavenly Peace Tian an Men	82	0.104193139	0.091517857
奥林匹克公园	745	鸟巢	787	714	0.958389262	0.907242694	Olympic Park	Niaochao National Stadium	714	0.958389262	0.907242694
奥林匹克公园	745	颐和园	926	232	0.311409396	0.250539957	Olympic Park	Summer Palace Yiheyuan	232	0.311409396	0.250539957
奥林匹克公园	745	北京大学	1023	208	0.279194631	0.203323558	Olympic Park	Peking University Beijing Da Xue	208	0.279194631	0.203323558
奥林匹克公园	745	天安门广场	1345	110	0.147651007	0.081784387	Olympic Park	Tiananmen Square Tiananmen Guangchang	110	0.147651007	0.081784387
奥林匹克公园	745	长安街	1388	110	0.147651007	0.07925072	Olympic Park	Chang an Street	110	0.147651007	0.07925072
奥林匹克公园	745	天坛	1115	106	0.142281879	0.095067265	Olympic Park	Temple of Heaven Tiantan Park	106	0.142281879	0.095067265
奥林匹克公园	745	南锣鼓巷	867	102	0.136912752	0.117647059	Olympic Park	Nanluoguxiang	102	0.136912752	0.117647059
奥林匹克公园	745	王府井	897	102	0.136912752	0.113712375	Olympic Park	Wangfujing Main Streeet	102	0.136912752	0.113712375
奥林匹克公园	745	什刹海	863	80	0.10738255	0.092699884	Olympic Park	Shichahai Scenic Resort	80	0.10738255	0.092699884
奥林匹克公园	745	后海	809	78	0.104697987	0.096415328	Olympic Park	Back Lakes Hou Hai	78	0.104697987	0.096415328
奥林匹克公园	745	故宫	1155	78	0.104697987	0.067532468	Olympic Park	The Palace Museum	78	0.104697987	0.067532468
奥林匹克公园	745	天安门	896	70	0.093959732	0.078125	Olympic Park	Gate of Heavenly Peace Tian an Men	70	0.093959732	0.078125
商业街	743	天坛	1115	493	0.663526245	0.442152466	Commercial Street	Temple of Heaven Tiantan Park	493	0.663526245	0.442152466
商业街	743	天安门广场	1345	411	0.553162853	0.305576208	Commercial Street	Tiananmen Square Tiananmen Guangchang	411	0.553162853	0.305576208
商业街	743	长安街	1388	348	0.468371467	0.250720461	Commercial Street	Chang an Street	348	0.468371467	0.250720461
商业街	743	故宫	1155	259	0.34858681	0.224242424	Commercial Street	The Palace Museum	259	0.34858681	0.224242424
商业街	743	北京大学	1023	214	0.288021534	0.209188661	Commercial Street	Peking University Beijing Da Xue	214	0.288021534	0.209188661
商业街	743	天安门	896	210	0.282637954	0.234375	Commercial Street	Gate of Heavenly Peace Tian an Men	210	0.282637954	0.234375
商业街	743	王府井	897	190	0.255720054	0.211817168	Commercial Street	Wangfujing Main Streeet	190	0.255720054	0.211817168
商业街	743	什刹海	863	98	0.131897712	0.113557358	Commercial Street	Shichahai Scenic Resort	98	0.131897712	0.113557358
商业街	743	后海	809	94	0.126514132	0.116192831	Commercial Street	Back Lakes Hou Hai	94	0.126514132	0.116192831
商业街	743	南锣鼓巷	867	84	0.113055182	0.096885813	Commercial Street	Nanluoguxiang	84	0.113055182	0.096885813
商业街	743	颐和园	926	78	0.104979812	0.084233261	Commercial Street	Summer Palace Yiheyuan	78	0.104979812	0.084233261
商业街	743	鸟巢	787	59	0.079407806	0.074968234	Commercial Street	Niaochao National Stadium	59	0.079407806	0.074968234
商业街	743	奥林匹克公园	745	51	0.068640646	0.068456376	Commercial Street	Olympic Park	51	0.068640646	0.068456376
圆明园	743	颐和园	926	713	0.959623149	0.769978402	Old Summer Palace Yuanmingyuan	Summer Palace Yiheyuan	713	0.959623149	0.769978402
圆明园	743	北京大学	1023	559	0.752355316	0.546432063	Old Summer Palace Yuanmingyuan	Peking University Beijing Da Xue	559	0.752355316	0.546432063
圆明园	743	鸟巢	787	200	0.269179004	0.254129606	Old Summer Palace Yuanmingyuan	Niaochao National Stadium	200	0.269179004	0.254129606
圆明园	743	奥林匹克公园	745	198	0.266487214	0.265771812	Old Summer Palace Yuanmingyuan	Olympic Park	198	0.266487214	0.265771812
圆明园	743	王府井	897	92	0.123822342	0.102564103	Old Summer Palace Yuanmingyuan	Wangfujing Main Streeet	92	0.123822342	0.102564103
圆明园	743	天坛	1115	92	0.123822342	0.082511211	Old Summer Palace Yuanmingyuan	Temple of Heaven Tiantan Park	92	0.123822342	0.082511211
圆明园	743	长安街	1388	90	0.121130552	0.064841499	Old Summer Palace Yuanmingyuan	Chang an Street	90	0.121130552	0.064841499
圆明园	743	天安门广场	1345	76	0.102288022	0.056505576	Old Summer Palace Yuanmingyuan	Tiananmen Square Tiananmen Guangchang	76	0.102288022	0.056505576
圆明园	743	故宫	1155	68	0.091520861	0.058874459	Old Summer Palace Yuanmingyuan	The Palace Museum	68	0.091520861	0.058874459
圆明园	743	南锣鼓巷	867	64	0.086137281	0.073817762	Old Summer Palace Yuanmingyuan	Nanluoguxiang	64	0.086137281	0.073817762
